[2022-08-27 00:36:07] Node GetValue(9): 1
[2022-08-27 00:36:07] Node GetValue(2): TRUE
[2022-08-27 00:36:09] Node GetValue(9): 1
[2022-08-27 00:36:09] Node GetValue(2): TRUE
[2022-08-27 05:36:04] Node GetValue(9): 1
[2022-08-27 05:36:04] Node GetValue(2): TRUE
[2022-08-27 05:36:05] Node GetValue(9): 1
[2022-08-27 05:36:05] Node GetValue(2): TRUE
[2022-08-27 05:36:08] Node GetValue(9): 1
[2022-08-27 05:36:08] Node GetValue(2): TRUE
[2022-08-27 05:36:08] Node GetValue(9): 1
[2022-08-27 05:36:08] Node GetValue(2): TRUE
[2022-08-27 13:36:05] Node GetValue(9): 1
[2022-08-27 13:36:05] Node GetValue(2): TRUE
[2022-08-27 13:36:06] Node GetValue(9): 1
[2022-08-27 13:36:06] Node GetValue(2): TRUE
[2022-08-27 13:36:08] Node GetValue(9): 1
[2022-08-27 13:36:08] Node GetValue(2): TRUE
[2022-08-27 13:36:09] Node GetValue(9): 1
[2022-08-27 13:36:09] Node GetValue(2): TRUE
[2022-08-27 22:57:46] Node GetValue(9): 1
[2022-08-27 22:57:46] Node GetValue(2): TRUE
[2022-08-27 22:57:48] Node GetValue(9): 1
[2022-08-27 22:57:48] Node GetValue(2): TRUE
[2022-08-27 22:57:50] Node GetValue(9): 1
[2022-08-27 22:57:50] Node GetValue(2): TRUE
[2022-08-27 22:57:51] Node GetValue(9): 1
[2022-08-27 22:57:51] Node GetValue(2): TRUE
[2022-08-27 22:58:35] Node GetValue(9): 1
[2022-08-27 22:58:35] Node GetValue(2): TRUE
[2022-08-27 22:58:36] Node GetValue(9): 1
[2022-08-27 22:58:36] Node GetValue(2): TRUE
[2022-08-27 22:58:38] Node GetValue(9): 1
[2022-08-27 22:58:39] Node GetValue(2): TRUE
[2022-08-27 22:58:39] Node GetValue(9): 1
[2022-08-27 22:58:39] Node GetValue(2): TRUE
[2022-08-28 05:36:05] Node GetValue(9): 1
[2022-08-28 05:36:05] Node GetValue(2): TRUE
[2022-08-28 05:36:06] Node GetValue(9): 1
[2022-08-28 05:36:06] Node GetValue(2): TRUE
[2022-08-28 05:36:08] Node GetValue(9): 1
[2022-08-28 05:36:08] Node GetValue(2): TRUE
[2022-08-28 05:36:09] Node GetValue(9): 1
[2022-08-28 05:36:09] Node GetValue(2): TRUE
[2022-08-28 13:36:06] Node GetValue(9): 1
[2022-08-28 13:36:06] Node GetValue(2): TRUE
[2022-08-28 13:36:07] Node GetValue(9): 1
[2022-08-28 13:36:07] Node GetValue(2): TRUE
[2022-08-28 13:36:09] Node GetValue(9): 1
[2022-08-28 13:36:09] Node GetValue(2): TRUE
[2022-08-28 13:36:10] Node GetValue(9): 1
[2022-08-28 13:36:10] Node GetValue(2): TRUE
[2022-08-29 00:06:55] Node GetValue(9): 1
[2022-08-29 00:06:55] Node GetValue(2): TRUE
[2022-08-29 00:06:56] Node GetValue(9): 1
[2022-08-29 00:06:56] Node GetValue(2): TRUE
[2022-08-29 00:06:59] Node GetValue(9): 1
[2022-08-29 00:06:59] Node GetValue(2): TRUE
[2022-08-29 00:07:00] Node GetValue(9): 1
[2022-08-29 00:07:00] Node GetValue(2): TRUE
[2022-08-29 13:36:05] Node GetValue(9): 1
[2022-08-29 13:36:05] Node GetValue(2): TRUE
[2022-08-29 13:36:06] Node GetValue(9): 1
[2022-08-29 13:36:06] Node GetValue(2): TRUE
[2022-08-29 13:36:10] Node GetValue(9): 1
[2022-08-29 13:36:10] Node GetValue(2): TRUE
[2022-08-29 13:36:11] Node GetValue(9): 1
[2022-08-29 13:36:11] Node GetValue(2): TRUE
[2022-08-29 21:08:19] Node GetValue(9): 1
[2022-08-29 21:08:19] Node GetValue(2): TRUE
[2022-08-29 21:08:21] Node GetValue(9): 1
[2022-08-29 21:08:21] Node GetValue(2): TRUE
[2022-08-29 21:08:25] Node GetValue(9): 1
[2022-08-29 21:08:25] Node GetValue(2): TRUE
[2022-08-29 21:08:26] Node GetValue(9): 1
[2022-08-29 21:08:26] Node GetValue(2): TRUE
[2022-08-29 21:36:03] Node GetValue(9): 1
[2022-08-29 21:36:03] Node GetValue(2): TRUE
[2022-08-29 21:36:05] Node GetValue(9): 1
[2022-08-29 21:36:05] Node GetValue(2): TRUE
[2022-08-29 21:36:07] Node GetValue(9): 1
[2022-08-29 21:36:07] Node GetValue(2): TRUE
[2022-08-29 21:36:08] Node GetValue(9): 1
[2022-08-29 21:36:08] Node GetValue(2): TRUE
[2022-08-30 05:36:04] Node GetValue(9): 1
[2022-08-30 05:36:04] Node GetValue(2): TRUE
[2022-08-30 05:36:05] Node GetValue(9): 1
[2022-08-30 05:36:05] Node GetValue(2): TRUE
[2022-08-30 05:36:08] Node GetValue(9): 1
[2022-08-30 05:36:08] Node GetValue(2): TRUE
[2022-08-30 05:36:09] Node GetValue(9): 1
[2022-08-30 05:36:09] Node GetValue(2): TRUE
[2022-08-31 22:45:24] Node GetValue(9): 1
[2022-08-31 22:45:24] Node GetValue(2): TRUE
[2022-08-31 22:45:25] Node GetValue(9): 1
[2022-08-31 22:45:25] Node GetValue(2): TRUE
[2022-08-31 22:45:29] Node GetValue(9): 1
[2022-08-31 22:45:29] Node GetValue(2): TRUE
[2022-08-31 22:45:30] Node GetValue(9): 1
[2022-08-31 22:45:30] Node GetValue(2): TRUE
[2022-09-01 05:36:05] Node GetValue(9): 1
[2022-09-01 05:36:05] Node GetValue(2): TRUE
[2022-09-01 05:36:06] Node GetValue(9): 1
[2022-09-01 05:36:06] Node GetValue(2): TRUE
[2022-09-01 05:36:09] Node GetValue(9): 1
[2022-09-01 05:36:09] Node GetValue(2): TRUE
[2022-09-01 05:36:10] Node GetValue(9): 1
[2022-09-01 05:36:10] Node GetValue(2): TRUE
[2022-09-01 13:36:04] Node GetValue(9): 1
[2022-09-01 13:36:04] Node GetValue(2): TRUE
[2022-09-01 13:36:05] Node GetValue(9): 1
[2022-09-01 13:36:05] Node GetValue(2): TRUE
[2022-09-01 13:36:08] Node GetValue(9): 1
[2022-09-01 13:36:08] Node GetValue(2): TRUE
[2022-09-01 13:36:09] Node GetValue(9): 1
[2022-09-01 13:36:09] Node GetValue(2): TRUE
[2022-09-02 10:00:02] Node GetValue(9): 1
[2022-09-02 10:00:02] Node GetValue(2): TRUE
[2022-09-02 10:00:03] Node GetValue(9): 1
[2022-09-02 10:00:03] Node GetValue(2): TRUE
[2022-09-02 10:00:07] Node GetValue(9): 1
[2022-09-02 10:00:07] Node GetValue(2): TRUE
[2022-09-02 10:00:08] Node GetValue(9): 1
[2022-09-02 10:00:09] Node GetValue(2): TRUE
[2022-09-02 21:56:21] Node GetValue(9): 1
[2022-09-02 21:56:21] Node GetValue(2): TRUE
[2022-09-02 21:56:22] Node GetValue(9): 1
[2022-09-02 21:56:22] Node GetValue(2): TRUE
[2022-09-02 21:56:25] Node GetValue(9): 1
[2022-09-02 21:56:25] Node GetValue(2): TRUE
[2022-09-02 21:56:26] Node GetValue(9): 1
[2022-09-02 21:56:26] Node GetValue(2): TRUE
[2022-09-02 21:57:05] Node GetValue(9): 1
[2022-09-02 21:57:05] Node GetValue(2): TRUE
[2022-09-02 21:57:06] Node GetValue(9): 1
[2022-09-02 21:57:06] Node GetValue(2): TRUE
[2022-09-02 21:57:09] Node GetValue(9): 1
[2022-09-02 21:57:09] Node GetValue(2): TRUE
[2022-09-02 21:57:09] Node GetValue(9): 1
[2022-09-02 21:57:09] Node GetValue(2): TRUE
[2022-09-03 09:23:17] Node GetValue(9): 1
[2022-09-03 09:23:17] Node GetValue(2): TRUE
